Id,Name,Type,Size,Form,Standard,Warehouse,Unit,price,LastPriceDate
,میلگرد آجدار ذوب آهن اصفهان 12 A3 شاخه 12 متری کارخانه  ,,12,,A3,کارخانه,,388182,1404/5/7
,میلگرد آجدار ذوب آهن اصفهان 14 A3 شاخه 12 متری کارخانه  ,,14,,A3,کارخانه,,349091,1404/5/7
,میلگرد آجدار ذوب آهن اصفهان 16 A3 شاخه 12 متری کارخانه  ,,16,,A3,کارخانه,,333636,1404/5/7
,میلگرد آجدار ذوب آهن اصفهان 18 A3 شاخه 12 متری کارخانه  ,,18,,A3,کارخانه,,316364,1404/5/7
,میلگرد آجدار ذوب آهن اصفهان 20 A3 شاخه 12 متری کارخانه  ,,20,,A3,کارخانه,,316364,1404/5/7
,میلگرد آجدار ذوب آهن اصفهان 22 A3 شاخه 12 متری کارخانه  ,,22,,A3,کارخانه,,321818,1404/5/7
,میلگرد آجدار ذوب آهن اصفهان 25 A3 شاخه 12 متری کارخانه  ,,25,,A3,کارخانه,,326364,1404/5/7
,میلگرد آجدار ذوب آهن اصفهان 28 A3 شاخه 12 متری کارخانه  ,,28,,A3,کارخانه,,316364,1404/5/7
,میلگرد آجدار ذوب آهن اصفهان 32 A3 شاخه 12 متری کارخانه  ,,32,,A3,کارخانه,,325455,1404/5/7
,میلگرد آجدار میانه 10 A3 شاخه 12 متری کارخانه  ,,10,,A3,کارخانه,,331818,1404/5/7
,میلگرد آجدار میانه 12 A3 شاخه 12 متری کارخانه  ,,12,,A3,کارخانه,,327273,1404/5/7
,میلگرد آجدار میانه 14 A3 شاخه 12 متری کارخانه  ,,14,,A3,کارخانه,,318182,1404/5/7
,میلگرد آجدار میانه 16 A3 شاخه 12 متری کارخانه  ,,16,,A3,کارخانه,,318182,1404/5/7
,میلگرد آجدار میانه 18 A3 شاخه 12 متری کارخانه  ,,18,,A3,کارخانه,,318182,1404/5/7
,میلگرد آجدار میانه 20 A3 شاخه 12 متری کارخانه  ,,20,,A3,کارخانه,,318182,1404/5/7
,میلگرد آجدار میانه 22 A3 شاخه 12 متری کارخانه  ,,22,,A3,کارخانه,,318182,1404/5/7
,میلگرد آجدار میانه 25 A3 شاخه 12 متری کارخانه  ,,25,,A3,کارخانه,,318182,1404/5/7
,میلگرد آجدار میانه 28 A3 شاخه 12 متری کارخانه  ,,28,,A3,کارخانه,,318182,1404/5/7
,میلگرد آجدار میانه 32 A3 شاخه 12 متری کارخانه  ,,32,,A3,کارخانه,,318182,1404/5/7
,میلگرد آجدار ظفر بناب 8 A2 شاخه 12 متری کارخانه  ,,8,,A2,کارخانه,,343636,1404/5/7
,میلگرد آجدار ظفر بناب 10 A3 شاخه 12 متری کارخانه  ,,10,,A3,کارخانه,,345909,1404/5/7
,میلگرد آجدار ظفر بناب 10 A2 شاخه 12 متری کارخانه  ,,10,,A2,کارخانه,,340000,1404/5/7
,میلگرد آجدار ظفر بناب 12 A3 شاخه 12 متری کارخانه  ,,12,,A3,کارخانه,,340000,1404/5/7
,میلگرد آجدار ظفر بناب 14 A3 شاخه 12 متری کارخانه  ,,14,,A3,کارخانه,,336364,1404/5/7
,میلگرد آجدار ظفر بناب 16 A3 شاخه 12 متری کارخانه  ,,16,,A3,کارخانه,,336364,1404/5/7
,میلگرد آجدار ظفر بناب 18 A3 شاخه 12 متری کارخانه  ,,18,,A3,کارخانه,,336364,1404/5/7
,میلگرد آجدار ظفر بناب 20 A3 شاخه 12 متری کارخانه  ,,20,,A3,کارخانه,,336364,1404/5/7
,میلگرد آجدار ظفر بناب 22 A3 شاخه 12 متری کارخانه  ,,22,,A3,کارخانه,,336364,1404/5/7
,میلگرد آجدار ظفر بناب 25 A3 شاخه 12 متری کارخانه  ,,25,,A3,کارخانه,,336364,1404/5/7
,میلگرد آجدار ظفر بناب 28 A3 شاخه 12 متری کارخانه  ,,28,,A3,کارخانه,,336364,1404/5/7
,میلگرد آجدار نیشابور 10 A3 شاخه بنگاه تهران  ,,10,,A3,بنگاه تهران,,398182,1404/5/7
,میلگرد آجدار نیشابور 10 A3 شاخه 12 متری کارخانه  ,,10,,A3,کارخانه,,368182,1404/5/7
,میلگرد آجدار نیشابور 12 A3 شاخه بنگاه تهران  ,,12,,A3,بنگاه تهران,,380000,1404/5/7
,میلگرد آجدار نیشابور 12 A3 شاخه 12 متری کارخانه  ,,12,,A3,کارخانه,,350000,1404/5/7
,میلگرد آجدار نیشابور 14 A3 شاخه بنگاه تهران  ,,14,,A3,بنگاه تهران,,339091,1404/5/7
,میلگرد آجدار نیشابور 14 A3 شاخه 12 متری کارخانه  ,,14,,A3,کارخانه,,322727,1404/5/7
,میلگرد آجدار نیشابور 16 A3 شاخه بنگاه تهران  ,,16,,A3,بنگاه تهران,,339091,1404/5/7
,میلگرد آجدار نیشابور 16 A3 شاخه 12 متری کارخانه  ,,16,,A3,کارخانه,,322727,1404/5/7
,میلگرد آجدار نیشابور 18 A3 شاخه بنگاه تهران  ,,18,,A3,بنگاه تهران,,339091,1404/5/7
,میلگرد آجدار نیشابور 18 A3 شاخه 12 متری کارخانه  ,,18,,A3,کارخانه,,322727,1404/5/7
,میلگرد آجدار نیشابور 20 A3 شاخه بنگاه تهران  ,,20,,A3,بنگاه تهران,,339091,1404/5/7
,میلگرد آجدار نیشابور 20 A3 شاخه 12 متری کارخانه  ,,20,,A3,کارخانه,,322727,1404/5/7
,میلگرد آجدار نیشابور 22 A3 شاخه بنگاه تهران  ,,22,,A3,بنگاه تهران,,339091,1404/5/7
,میلگرد آجدار نیشابور 22 A3 شاخه 12 متری کارخانه  ,,22,,A3,کارخانه,,322727,1404/5/7
,میلگرد آجدار نیشابور 25 A3 شاخه بنگاه تهران  ,,25,,A3,بنگاه تهران,,347273,1404/5/7
,میلگرد آجدار نیشابور 25 A3 شاخه 12 متری کارخانه  ,,25,,A3,کارخانه,,322727,1404/5/7
,میلگرد آجدار نیشابور 28 A3 شاخه بنگاه تهران  ,,28,,A3,بنگاه تهران,,347273,1404/5/7
,میلگرد آجدار نیشابور 28 A3 شاخه 12 متری کارخانه  ,,28,,A3,کارخانه,,322727,1404/5/7
,میلگرد آجدار نیشابور 32 A3 شاخه بنگاه تهران  ,,32,,A3,بنگاه تهران,,350000,1404/5/7
,میلگرد آجدار نیشابور 32 A3 شاخه 12 متری کارخانه  ,,32,,A3,کارخانه,,331818,1404/5/7
,میلگرد ساده 5.5  ابهر  کلاف    کارخانه ,,5.5,,A1,کارخانه,,376364,1404/5/7
,میلگرد ساده 6.5  ابهر  کلاف    کارخانه ,,6.5,,A1,کارخانه,,377273,1404/5/7
,میلگرد آجدار ابهر 8 A2 شاخه 12 متری کارخانه  ,,8,,A2,کارخانه,,343636,1404/5/7
,میلگرد آجدار ابهر 10 A3 شاخه 12 متری کارخانه  ,,10,,A3,کارخانه,,336364,1404/5/7
,میلگرد آجدار ابهر 10 A2 شاخه 12 متری کارخانه  ,,10,,A2,کارخانه,,332727,1404/5/7
,میلگرد آجدار ابهر 12 A2 شاخه 12 متری کارخانه  ,,12,,A2,کارخانه,,332727,1404/5/7
,میلگرد آجدار ابهر 12 A3 شاخه 12 متری کارخانه  ,,12,,A3,کارخانه,,337273,1404/5/7
,میلگرد آجدار ابهر 14 A3 شاخه 12 متری کارخانه  ,,14,,A3,کارخانه,,322727,1404/5/7
,میلگرد آجدار ابهر 16 A3 شاخه 12 متری کارخانه  ,,16,,A3,کارخانه,,322727,1404/5/7
,میلگرد آجدار ابهر 18 A3 شاخه 12 متری کارخانه  ,,18,,A3,کارخانه,,322727,1404/5/7
,میلگرد آجدار ابهر 20 A3 شاخه 12 متری کارخانه  ,,20,,A3,کارخانه,,322727,1404/5/7
,میلگرد آجدار ابهر 22 A3 شاخه 12 متری کارخانه  ,,22,,A3,کارخانه,,322727,1404/5/7
,میلگرد آجدار ابهر 25 A3 شاخه 12 متری کارخانه  ,,25,,A3,کارخانه,,322727,1404/5/7
,میلگرد آجدار امیرکبیر 10 A3 شاخه 12 متری کارخانه  ,,10,,A3,کارخانه,,330000,1404/5/7
,میلگرد آجدار امیرکبیر 10 A2 شاخه 12 متری کارخانه  ,,10,,A2,کارخانه,,325455,1404/5/7
,میلگرد آجدار امیرکبیر 12 A3 شاخه بنگاه تهران  ,,12,,A3,بنگاه تهران,,342727,1404/5/7
,میلگرد آجدار امیرکبیر 12 A3 شاخه 12 متری کارخانه  ,,12,,A3,کارخانه,,325455,1404/5/7
,میلگرد آجدار امیرکبیر 14 A3 شاخه بنگاه تهران  ,,14,,A3,بنگاه تهران,,331818,1404/5/7
,میلگرد آجدار امیرکبیر 14 A3 شاخه 12 متری کارخانه  ,,14,,A3,کارخانه,,316364,1404/5/7
,میلگرد آجدار امیرکبیر 16 A3 شاخه بنگاه تهران  ,,16,,A3,بنگاه تهران,,331818,1404/5/7
,میلگرد آجدار امیرکبیر 16 A3 شاخه 12 متری کارخانه  ,,16,,A3,کارخانه,,316364,1404/5/7
,میلگرد آجدار امیرکبیر 18 A3 شاخه بنگاه تهران  ,,18,,A3,بنگاه تهران,,331818,1404/5/7
,میلگرد آجدار امیرکبیر 18 A3 شاخه 12 متری کارخانه  ,,18,,A3,کارخانه,,316364,1404/5/7
,میلگرد آجدار امیرکبیر 20 A3 شاخه بنگاه تهران  ,,20,,A3,بنگاه تهران,,329091,1404/5/7
,میلگرد آجدار امیرکبیر 20 A3 شاخه 12 متری کارخانه  ,,20,,A3,کارخانه,,316364,1404/5/7
,میلگرد آجدار امیرکبیر 22 A3 شاخه بنگاه تهران  ,,22,,A3,بنگاه تهران,,331818,1404/5/7
,میلگرد آجدار امیرکبیر 22 A3 شاخه 12 متری کارخانه  ,,22,,A3,کارخانه,,316364,1404/5/7
,میلگرد آجدار امیرکبیر 25 A3 شاخه بنگاه تهران  ,,25,,A3,بنگاه تهران,,331818,1404/5/7
,میلگرد آجدار امیرکبیر 25 A3 شاخه 12 متری کارخانه  ,,25,,A3,کارخانه,,316364,1404/5/7
,میلگرد آجدار امیرکبیر 28 A3 شاخه بنگاه تهران  ,,28,,A3,بنگاه تهران,,335727,1404/5/7
,میلگرد آجدار امیرکبیر 28 A3 شاخه 12 متری کارخانه  ,,28,,A3,کارخانه,,318182,1404/5/7
,میلگرد آجدار امیرکبیر 32 A3 شاخه بنگاه تهران  ,,32,,A3,بنگاه تهران,,340273,1404/5/7
,میلگرد آجدار امیرکبیر 32 A3 شاخه 12 متری کارخانه  ,,32,,A3,کارخانه,,318182,1404/5/7
,میلگرد آجدار فایکو 10 A3 شاخه 12 متری کارخانه  ,,10,,A3,کارخانه,,335455,1404/5/7
,میلگرد آجدار فایکو 12 A3 شاخه 12 متری کارخانه  ,,12,,A3,کارخانه,,332727,1404/5/7
,میلگرد آجدار فایکو 14 A3 شاخه 12 متری کارخانه  ,,14,,A3,کارخانه,,321818,1404/5/7
,میلگرد آجدار فایکو 16 A3 شاخه 12 متری کارخانه  ,,16,,A3,کارخانه,,321818,1404/5/7
,میلگرد آجدار فایکو 18 A3 شاخه 12 متری کارخانه  ,,18,,A3,کارخانه,,321818,1404/5/7
,میلگرد آجدار فایکو 20 A3 شاخه 12 متری کارخانه  ,,20,,A3,کارخانه,,321818,1404/5/7
,میلگرد آجدار فایکو 22 A3 شاخه 12 متری کارخانه  ,,22,,A3,کارخانه,,321818,1404/5/7
,میلگرد آجدار فایکو 25 A3 شاخه 12 متری کارخانه  ,,25,,A3,کارخانه,,321818,1404/5/7
,میلگرد آجدار فایکو 28 A3 شاخه 12 متری کارخانه  ,,28,,A3,کارخانه,,321818,1404/5/7
,میلگرد آجدار فایکو 32 A3 شاخه 12 متری کارخانه  ,,32,,A3,کارخانه,,321818,1404/5/7
,میلگرد آجدار جهان فولاد سیرجان 12 A3 شاخه 12 متری کارخانه  ,,12,,A3,کارخانه,,325455,1404/5/7
,میلگرد آجدار جهان فولاد سیرجان 14 A3 شاخه 12 متری کارخانه  ,,14,,A3,کارخانه,,306364,1404/5/7
,میلگرد آجدار جهان فولاد سیرجان 16 A3 شاخه 12 متری کارخانه  ,,16,,A3,کارخانه,,306364,1404/5/7
,میلگرد آجدار جهان فولاد سیرجان 18 A3 شاخه 12 متری کارخانه  ,,18,,A3,کارخانه,,304545,1404/5/7
,میلگرد آجدار جهان فولاد سیرجان 20 A3 شاخه 12 متری کارخانه  ,,20,,A3,کارخانه,,304545,1404/5/7
,میلگرد آجدار جهان فولاد سیرجان 22 A3 شاخه 12 متری کارخانه  ,,22,,A3,کارخانه,,304545,1404/5/7
,میلگرد آجدار جهان فولاد سیرجان 25 A3 شاخه 12 متری کارخانه  ,,25,,A3,کارخانه,,304545,1404/5/7
,میلگرد آجدار جهان فولاد سیرجان 28 A3 شاخه 12 متری کارخانه  ,,28,,A3,کارخانه,,304545,1404/5/7
,میلگرد آجدار جهان فولاد سیرجان 32 A3 شاخه 12 متری کارخانه  ,,32,,A3,کارخانه,,304545,1404/5/7
,میلگرد آجدار بافق یزد 8 A3 شاخه 12 متری کارخانه  ,,8,,A3,کارخانه,,349091,1404/5/7
,میلگرد آجدار بافق یزد 10 A3 شاخه 12 متری کارخانه  ,,10,,A3,کارخانه,,340000,1404/5/7
,میلگرد آجدار بافق یزد 12 A3 شاخه 12 متری کارخانه  ,,12,,A3,کارخانه,,337273,1404/5/7
,میلگرد آجدار بافق یزد 14 A3 شاخه 12 متری کارخانه  ,,14,,A3,کارخانه,,324545,1404/5/7
,میلگرد آجدار بافق یزد 16 A3 شاخه 12 متری کارخانه  ,,16,,A3,کارخانه,,324545,1404/5/7
,میلگرد آجدار بافق یزد 18 A3 شاخه 12 متری کارخانه  ,,18,,A3,کارخانه,,321818,1404/5/7
,میلگرد آجدار بافق یزد 20 A3 شاخه 12 متری کارخانه  ,,20,,A3,کارخانه,,321818,1404/5/7
,میلگرد آجدار بافق یزد 22 A3 شاخه 12 متری کارخانه  ,,22,,A3,کارخانه,,321818,1404/5/7
,میلگرد آجدار بافق یزد 25 A3 شاخه 12 متری کارخانه  ,,25,,A3,کارخانه,,321818,1404/5/7
,میلگرد آجدار بافق یزد 28 A3 شاخه 12 متری کارخانه  ,,28,,A3,کارخانه,,321818,1404/5/7
,میلگرد آجدار بافق یزد 32 A3 شاخه 12 متری کارخانه  ,,32,,A3,کارخانه,,324545,1404/5/7
,میلگرد آجدار شاهرود 8 A2 شاخه 12 متری کارخانه  ,,8,,A2,کارخانه,,346364,1404/5/7
,میلگرد آجدار شاهرود 10 A3 شاخه 12 متری کارخانه  ,,10,,A3,کارخانه,,336364,1404/5/7
,میلگرد آجدار شاهرود 12 A3 شاخه 12 متری کارخانه  ,,12,,A3,کارخانه,,333636,1404/5/7
,میلگرد آجدار شاهرود 14 A3 شاخه 12 متری کارخانه  ,,14,,A3,کارخانه,,322727,1404/5/7
,میلگرد آجدار شاهرود 16 A3 شاخه 12 متری کارخانه  ,,16,,A3,کارخانه,,322727,1404/5/7
,میلگرد آجدار شاهرود 18 A3 شاخه 12 متری کارخانه  ,,18,,A3,کارخانه,,322727,1404/5/7
,میلگرد آجدار شاهرود 20 A3 شاخه 12 متری کارخانه  ,,20,,A3,کارخانه,,322727,1404/5/7
,میلگرد آجدار شاهرود 22 A3 شاخه 12 متری کارخانه  ,,22,,A3,کارخانه,,325455,1404/5/7
,میلگرد آجدار شاهرود 25 A3 شاخه 12 متری کارخانه  ,,25,,A3,کارخانه,,325455,1404/5/7
,میلگرد آجدار شاهرود 28 A3 شاخه 12 متری کارخانه  ,,28,,A3,کارخانه,,325455,1404/5/7
,میلگرد آجدار شاهرود 32 A3 شاخه 12 متری کارخانه  ,,32,,A3,کارخانه,,325455,1404/5/7
,میلگرد آجدار شاهین بناب 8 A3 شاخه 12 متری کارخانه  ,,8,,A3,کارخانه,,328182,1404/5/7
,میلگرد آجدار شاهین بناب 8 A2 شاخه 12 متری کارخانه  ,,8,,A2,کارخانه,,330727,1404/5/7
,میلگرد آجدار شاهین بناب 10 A2 شاخه 12 متری کارخانه  ,,10,,A2,کارخانه,,317273,1404/5/7
,میلگرد آجدار شاهین بناب 10 A3 شاخه 12 متری کارخانه  ,,10,,A3,کارخانه,,319091,1404/5/7
,میلگرد آجدار شاهین بناب 12 A3 شاخه 12 متری کارخانه  ,,12,,A3,کارخانه,,317273,1404/5/7
,میلگرد آجدار شاهین بناب 14 A3 شاخه 12 متری کارخانه  ,,14,,A3,کارخانه,,310000,1404/5/7
,میلگرد آجدار شاهین بناب 16 A3 شاخه 12 متری کارخانه  ,,16,,A3,کارخانه,,310000,1404/5/7
,میلگرد آجدار شاهین بناب 18 A3 شاخه 12 متری کارخانه  ,,18,,A3,کارخانه,,310000,1404/5/7
,میلگرد آجدار شاهین بناب 20 A3 شاخه 12 متری کارخانه  ,,20,,A3,کارخانه,,310000,1404/5/7
,میلگرد آجدار شاهین بناب 22 A3 شاخه 12 متری کارخانه  ,,22,,A3,کارخانه,,310000,1404/5/7
,میلگرد آجدار شاهین بناب 25 A3 شاخه 12 متری کارخانه  ,,25,,A3,کارخانه,,310000,1404/5/7
,میلگرد آجدار شاهین بناب 28 A3 شاخه 12 متری کارخانه  ,,28,,A3,کارخانه,,310000,1404/5/7
,میلگرد آجدار شاهین بناب 32 A3 شاخه 12 متری کارخانه  ,,32,,A3,کارخانه,,316364,1404/5/7
,میلگرد آجدار صبا فولاد زاگرس 10 A3 شاخه 12 متری کارخانه  ,,10,,A3,کارخانه,,345455,1404/5/7
,میلگرد آجدار صبا فولاد زاگرس 12 A3 شاخه 12 متری کارخانه  ,,12,,A3,کارخانه,,340909,1404/5/7
,میلگرد آجدار صبا فولاد زاگرس 14 A3 شاخه 12 متری کارخانه  ,,14,,A3,کارخانه,,327273,1404/5/7
,میلگرد آجدار صبا فولاد زاگرس 16 A3 شاخه 12 متری کارخانه  ,,16,,A3,کارخانه,,327273,1404/5/7
